Module Code,Module Title,Major Tag,Major Tag 2,Major Tag 3,Major Tag 4,Tag 1,Tag 2,Description
YSC3210,Introduction to Quantum Mechanics,Physical Sciences,,,,,,"This first course on quantum mechanics introduces students to the postulates of quantum theory and then applies it to discuss problems like two level systems, quantum harmonic oscillators, the variational principle and the WKB approximation."
YSC3211,Introduction to Electrodynamics,Physical Sciences,,,,,,"This course introduces the basic concepts of electrodynamics, taught with the full mathematical and physical rigor necessary for subsequent courses on the subject. Topics typically include electrostatics and magnetostatics, both in free space and in media, dynamics as described by Maxwell’s equations, electromagnetic waves, optics, and simple relativistic phenomena. Introduction to electrodynamics is a core course for the Physics pathway within the Physical Science major."
YSC3215,Research Seminar,Life Sciences,,,,Methods Class,,"This course (a requirement for Life Science majors) is meant to prepare students for their capstone projects, in some cases quite specifically through targeted readings and group presentations of relevant scientific literature, but more generally through practice in close and critical assessment of scientific papers, the generation of new research ideas based on those papers, and the honing of presentation skills."
YSC3227,Machine Learning,MCS,,,,,,"Machine learning is a collection of techniques where computers can learn from data without being explicitly programmed. For instance, when we train a program using human-face image data, it should be able to locate faces in an image; yet, if we train the same program using flower data, it should be able to locate flowers in an image, without explicitly changing the program itself. This module particularly will focus on statistical machine learning, which relies heavily on probabilistic and statistical analysis. Programming skill in python is compulsory."
YSC3236,Functional Programming and Proving,MCS,,,,,,"Using the Coq Proof Assistant, we propose an integrated account of specifications, unit tests, implementations, and properties of functional programs, through a variety of examples."
YSC3237,Introduction to Modern Algebra,MCS,,,,,,"Algebra is the study of mathematical symbols and the rules used to manipulate them. Throughout the history of mathematics, algebraic methods have been developed to solve equations using simple, but important, properties of numbers that make meaningful calculations possible. Those properties arise in a variety of other settings, however, allowing us to make algebraic arguments in a significantly broader context. This course introduces modern algebra — specifically the mathematical objects called groups and rings — through a rigorous exploration of familiar notions, including permutations, symmetries, polynomials, and matrices, resulting in a cohesive, unifying theory with far-reaching applications throughout the natural sciences."
YSC4101,Physical Sciences Capstone Project,Physical Sciences,,,,Capstone,,"The Physical Sciences Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Physical Sciences major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSC4102,Life Sciences Capstone Project,Life Sciences,,,,Capstone,,"The Life Sciences Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Life Sciences major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSC4103,"Maths, Computational & Statistical Sci Capstone Project",MCS,,,,Capstone,,"The Maths, Computational & Statistical Science (MCS) Capstone Project is a year-long 10-MC module, straddling two semesters that students in the MCS major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, under the guidance of a faculty supervisor. The Capstone is intended to: • give students the opportunity to work independently; • encourage students to develop and exhibit aspects of their ability that may not be revealed by course work or a written examination; • foster skills and attributes that will be of continuing usefulness in their later career."
YSC4203,Topology,MCS,,,,,,"Topology is the study of shapes. It forms a basic framework for geometric reasoning in mathematics and its applications (such as equilibrium theory in economics, cosmology, robotics, stereochemistry and molecular biology). Topics covered include metric spaces and continuity, completeness, topological spaces, separation axioms, connectedness, compactness."
YSC4209,Physical Science Research Seminar,Physical Sciences,,,,,,This course (that counts towards the Physical Science major) is meant to expose students to current research areas in physical science and can be used to prepare for capstone projects though targeted readings and group presentations in specific areas of physical science. Critical assessment of scientific papers could lead to the generation of new research directions based on those papers. This will be a year-long 4MC course (i.e. 2 MC each semester).
YSC4212,Statistical Case Studies (with R),MCS,Life Sciences,Physical Sciences,,,,"NA (New class, brief not yet written, cannot be found online)"
YSS2201,Understanding Behavior and Cognition,Psychology,,,,Intro Class,Major Requirement,"This course will introduce students to themselves and others as viewed through the lens of psychology. We will present and explore the scientific study of human (and animal) behaviour, seeking to understand why we think, feel, and act as we do. The goal is to build a firm foundation for those wishing to major in psychology while simultaneously providing an interesting and revealing elective to those visiting psychology on their way to other disciplines."
YSS2202,International Relations,Global Affairs,PPE,,,Intro Class,Major Requirement,"This course introduces students to concepts, theories, and cases associated with the study of international politics. We will study contemporary scholarly texts and examine empirical evidence relating to key historical experiences such as the Cold War, which inform contemporary international relations theories."
YSS2203,Intermediate Microeconomics,Economics,PPE,,,Major Requirement,,"Microeconomics analyses individual decision making and its implications for economic outcomes. Here the term “individual” is used broadly to include individuals, households and firms. We deconstruct the demand-supply model by analyzing consumers' choices as outcomes of rational preference maximization and producers' decisions as results of profit maximization in various market structures. We study how equilibrium of demand and supply in competitive markets generates efficient outcomes. We then analyze a variety of instances when markets fail to be efficient. This course will place special emphasis upon mathematical foundations of theoretical models. In particular, we will study and apply techniques in multivariate calculus, and unconstrained and constrained optimization."
YSS2208,Ancient Greek Political Philosophy,PPE,Philosophy,Global Antiquity,,,,"This course offers students an introduction to the central themes and debates in Ancient Greek Political Philosophy through a careful reading of Plato’s Republic and Aristotle’s Politics. Questions and themes include: How should I/we live? What is justice, freedom, and equality? What are the virtues of citizens and rulers? What is the relationship between the individual and the state? How should we envision the relationship between morality and politics? While understanding the works of Plato and Aristotle within their historical context, we will also be interested in understanding how they can help us to think about politics in contemporary societies."
YSS3277,The Anthropological Imagination,Anthropology,,,,Major Requirement,,"The Anthropological Imagination offers an introduction to the practice and creative power of anthropology. The first half of the course will focus on the concept of culture, structure, and the relationship between culture and nature in classic works of anthropology over the past century. The second half of the course is geared toward an exploration of more current anthropological writings on aesthetics, politics, gender and the rise of post-human anthropology in considering cyborgs, humananimal relationships, avatars in Massively Multiplayer On-Line Role Playing Games such as World of Warcraft and forms of life emerging within other modalities of human sociality."
YSS2214,Intermediate Macroeconomics,Economics,PPE,,,Major Requirement,,"Economics is concerned with the study of how individuals make decisions and how these decisions affect, and in turn are affected by, the distribution of limited resources in society. This course introduces students to the formal analysis of the economy as a whole. The goal is to understand how decisions by the firms, consumers and institutions affect the markets, and the welfare implications of such choices for society. Special attention is placed on the effect of government and monetary policies on the economy. Emphasis is placed upon the mathematical foundations of theoretical models."
YSS2216,Statistics and Research Methods for Psychology,Psychology,,,,Methods Class,,This course is concerned with research methods and the use of statistics in psychology. As such this is a skills oriented course aimed at preparing students for taking the required laboratory course in psychology as well as doing their senior capstone project. We will be covering research methods and statistics simultaneously since they are closely intertwined.
YSS2218,International Political Economy,Global Affairs,PPE,,,Intro Class,,"This class introduces students to the study of international political economy. Students will examine the structure of the global political economy, the drivers and implications of globalization, and the role of international economic institutions in driving political and economic outcomes. Among others, this class will cover topics such as international financial institutions, trade, financial crises, foreign aid, economic development, energy politics, and illicit trade."
YSS2220,Introduction to Urban Studies,Urban Studies,Anthropology,,,Intro Class,Major Requirement,This course offers an introduction to urban studies. It inquires into the evolution of cities historically as well as contemporary processes of urbanization. The course also introduces students to key explanatory frameworks for understanding the contemporary economic and social function of cities. The course can be taken as a gateway to the Urban Studies major or as an elective.
YSS2224,Introduction to Global Affairs,Global Affairs,,,,Intro Class,Major Requirement,"This course introduces students to the key theories, issues and challenges in Global Affairs. Students considering majoring or minor in Global Affairs, or those seeking greater knowledge about how the world works, should take this course. Students will learn about the structure of the international system, theories of inequality and development, and about key State and non-state actors in Global Affairs. An interdisciplinary approach to understanding transboundary problems is applied. Students will also gain skills to critically assess global news sources on current issues, write about contemporary issues within a historical context, and in problem solving and oral communication."
YSS2228,Modern Southeast Asia,Anthropology,Global Affairs,,,,,"Introduction to the peoples and cultures of Southeast Asia, with special emphasis on the challenges of modernization, development, and globalization. Southeast Asian history, literature, arts, belief systems, agriculture, industrialization and urbanization, politics, ecological challenges, and economic change."
YSS3201,International Migration,Global Affairs,Anthropology,Urban Studies,,,,"An introduction to foundational theories that explain why people migrate and their post-migration experiences. The first half of the course focuses on factors that influence the decision to leave one's home country and migrate elsewhere. The second half of the course focuses on the impact of migration on the migrants themselves, the countries they move to, and the countries they leave behind. Over the course of the semester, students will also research specific migration streams to Singapore of their choosing in a structured manner."
YSS3202,Ethnography,Anthropology,Global Affairs,Urban Studies,,Methods Class,Major Requirement,"In this course, students will understand what constitutes ethnographic field methods, what makes ethnographic writing different from other kinds of nonfiction writing, and the ethical and theoretical considerations within ethnographic research. Over the semester, students will conduct their own, small-scale ethnographic fieldwork, interviews and participant observation based in Singapore. This course is required in the Anthropology Major. This course satisfies requirements in the Global Affairs Major. This course satisfies requirements in the Urban Studies Major."
YSS3203,Behavioral Economics,Economics,PPE,Psychology,,,,"The field of behavioral economics draws on insights from other disciplines, especially psychology, to enrich our understanding of economic behaviour and decision making generally. Individuals frequently make decisions that systematically depart from the predictions of standard economic models. In this course we will attempt to understand these departures by integrating the psychology of human behavior into economic analysis. This course analyzes all types of decisions made by agents on a daily basis (from which breakfast to have to where to send the kids for education, etc.). Special focus will be put on decision making in a context of bounded rationality."
YSS3208,Advanced Microeconomics,Economics,PPE,,,Advanced Class,,"This broadly covers the same range of topics as ‘Intermediate Economics’. However it has a more intensive treatment of consumer and producer theory, and covers additional topics like choice under uncertainty, game theory, contracting under hidden actions or hidden information, externalities and public goods, asset pricing, auctions, and general equilibrium theory."
YSS3217,Urbanization in China,Urban Studies,Chinese Studies,,,,,"This course investigates the dramatic urban transformation that has taken place in mainland China over the last four decades. The scale of this transformation means that it has far-reaching consequences for Asia and the world, influencing everything from climate change to the price of bread. The path of Chinese urbanization even affects the likelihood of regional military conflict. Understanding how and why China has urbanized is therefore of critical importance. Over the semester, we will take an interdisciplinary approach to this investigation, using perspectives from history, geography, political science, anthropology, urban planning, and cultural studies, among other disciplines."
YSS3219,Developmental Psychology,Psychology,,,,,,This course introduces students to the field of developmental psychology which addresses the ways in which humans develop psychologically.
YSS3225,Global Governance,Global Affairs,,,,,,"This course will enable students to understand the role of international law, regimes, institutions, and non-governmental organizations in international politics. The first section of the course is dedicated to theoretical, institutional and legal issues of global governance. The second section explores how the global governance and international law structure has evolved over time and how it technically functions today. The third section will explore the operations of specific actors in global governance including the United Nations, World Trade Organization, International Monetary Fund, APEC and ASEAN. The final section will explore the ‘threats without borders’ and challenges to global governance."
YSS3231,Methods in the Social Sciences,Anthropology,Global Affairs,PPE,Urban Studies,Methods Class,Major Requirement,"An introduction to various research methods in the social sciences, including survey methodology, quantitative data analysis, participant observation, and in-depth interviewing. This course can count as a course in the major for students in Urban Studies, Global Affairs, PPE, and Anthropology. It may fulfil the course requirements for students in Environmental Studies as well on a case-by-case basis after consultation with the Head of Studies of that major. The course also fulfils the methods requirement in Urban Studies and Global Affairs. Students in all of these majors should ideally take this course before they commence their capstone project."
YSS3244,Labour Economics,Economics,PPE,,,,,"The aim of the module is to equip students with the analytical tools and knowledge to study and understand (i) the behaviour of employees and employers and (ii) government policy towards labour issues. In particular, the course provides a framework to evaluate common labour market policies, such as the minimum wage, welfare reform, or restricting immigration. The module relates recent developments in labour-economics research (including empirical results from developed and developing countries) with policy-relevant issues."
YSS3246,Cities of the Global South,Urban Studies,Global Affairs,PPE,,,,"This course offers students an in-depth inquiry into the characteristics of urban organization and development in cities of the Global South, where there are high rates of urbanization. Students will examine a range of topics: migration and urbanization, formal and informal governance, housing and infrastructure, food security and environment. Students will also learn about the competing theoretical constructs used to explain such urbanization. Case studies will be drawn from a range of geographical locations."
YSS3257,Seminar on Corporate Finance,Economics,PPE,,,,,"This seminar will cover the principles by which firms are run to maintain their financial wellbeing. Depending on the nature of the investment opportunity (risk, maturity and expected return), the firm will consider different avenues of raising capital. The course will cover the economics of lending, swaps and derivatives, recapitalizations, equity securities, initial public offerings and early stage investing, principles of valuations, investment analysis, basic accounting and financial modelling. Case studies will be used to investigate the agency problem within the firm, between managers, shareholders and other stakeholders in shaping the capital structure and investment decisions."
YSS3258,Early Stage Private Equity Investing,Economics,PPE,,,,,"This module will cover how returns from private equity investment are achieved through operational improvements and financial restructuring of growth and new venture companies. This is an introduction to the evaluation, structuring, stewardship, and realization of early stage private equity investments. We study cases of increasingly complex topics concerning cash flow, investment assessment, value assessment and creation, legal constraints, leadership, business development and economics and, ultimately, returns on investment."
YSS3263,Emotions and Politics,PPE,Philosophy,Psychology,,,,This course examines the role of emotions in liberal democratic practices and institutions and in contemporary democratic theory. The course will examine three different theoretical frameworks that have recently been used to understand the place of emotions in politics: 1) neuroscientific; 2) neo-Aristotelian; and 3) Freudian/psychoanalytic. It will focus on the different conceptions put forth by each of these frameworks and the different constellations of emotions that are analysed and/or advocated by these theories. Questions to be addressed include: Are there “negative” emotions? What criteria do we use to decide whether an emotion ought to be excluded from democratic practices?
YSS3273,GIS and Demographics,Urban Studies,,,,,,"This module is designed to introduce the concepts of geospatial analysis and demographic analysis. The course offers students the opportunity to understand the operational processes of spatial data acquisition, spatial and demographic analysis, and mapping and dynamic visualization. Students will also explore a variety of urban issues, such as gentrification and racial segregation, using two tools: ArcGIS software packages and STATA."
YSS3275,Social Life of Cities,Urban Studies,,,,,,"This course offers a window into the complex arrangements of social life in cities. It explores the ways in which social structures and dynamics are folded into and through urban contexts, specifically by imagining the city from four planes of social life. We examine (i) ‘cities of difference’ (ii) ‘cities of scales’ (iii) ‘cities of relations’ (iv) ‘cities of actions’. At the end of the course, students will gain clearer recognition of the darker structures in urban life, the complicity of society and culture in stabilising them, but also a deeper appreciation for spaces of hope that allow for change."
YSS3276,International Political Theory,PPE,Global Affairs,,,,,"This module considers questions of international politics historically and philosophically, based on reading classical and modern works. The topics discussed include sovereignty and intervention, the morality of war, the balance of power, imperialism and decolonization, and conceptions of international law and global order. Attention is given to non-European thinkers and to recent work on the intellectual history of international relations."
YSS4101,Global Affairs Capstone Project,Global Affairs,,,,Capstone,,"The Global Affairs Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Global Affairs major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSS4102,Psychology Capstone Project,Psychology,,,,Capstone,,"The Psychology Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Psychology major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSS4103,Anthropology Capstone Project,Anthropology,,,,Capstone,,"The Anthropology Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Anthropology major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSS4104,Economics Capstone Project,Economics,,,,Capstone,,"The Economics Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Economics major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSS4105,Urban Studies Capstone Project,Urban Studies,,,,Capstone,,"The Urban Studies Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the Urban Studies major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSS4106,"Politics, Philosophy and Economics Capstone Project",PPE,,,,Capstone,,"The Politics, Philosophy and Economics (PPE) Capstone Project is a year-long 10-MC module, straddling over two semesters. It is a compulsory module that students in the PPE major must complete in order to graduate. It allows students the opportunity to pursue, in depth, an advanced project of their own choosing, while working closely with a faculty supervisor. Students will work on an advanced creative and/or research or experiential project that integrates skills from the Common Curriculum and learning in the major. The Capstone Project will culminate in a substantial piece of work that reflects a deep engagement with the topic."
YSS4202,Goals and Motivation,Psychology,,,,,,"This seminar will examine recent and influential work in personality and social psychology on motivational and self-regulatory processes contributing to the pursuit of goals. On successful completion of the course a student should be able to: Convey a deep understanding of motivational processes involved in the pursuit of goals. Also to conduct an effective literature review, construct novel and important hypotheses, competently critique the extant literature, design experiments, and write an effective research proposal."
YSS4215,Sexual Economies,Anthropology,,,,,,"This course explores the role that sex plays in the exchanges and circulations that make up human social life. Whether for procreation, pleasure, social status, the solidification of kinship networks, religious devotion, the marketing of reproductive tissue, or social reproduction itself, sex and sexual relations are far from being “private” acts of no political consequence. On the contrary, they are integral to larger practices and institutions. The course will introduce students to multidisciplinary perspectives on the intersections of sex with money, politics, social status, and access to resources."
YSS4220,Housing and Social Inequality,Urban Studies,,,,,,"Housing is an essential necessity for living. The housing unit is concurrently a consumption good and an investment good. As a commodity, the quality and quantity of housing distribution and consumption are unequal, reflecting intrinsic social and economic inequalities in the society. As the logic and practice of the housing market unavoidably fail in providing adequate housing for all, the state is left with the responsibility of providing for those that the market has marginalized. This module will examine the role of the market and the state in engendering and perpetuating social and economic inequalities through the housing provision."
YSS4222,Contemporary European Politics,Global Affairs,PPE,,,,,"This course explores the structures of power within the European State since WWII. The course content will explore historical context, political integration of the European Union (EU), the domestic politics of specific European countries, as well as the effects of integration on the governance in member states, and specific elections and outcomes. Students will also analyze the position of EU in the international system. Contemporary issues of Brexit and the rise of populism in European democracies. Assessment will challenge students to create an in-depth policy memo which synthesizes the historical, political and practice of politics of Europe."
YSS4227,Topics in Applied Econometrics,Economics,PPE,,,,,"This course covers econometric techniques as applied in empirical work in economics, at a level that is accessible to advance undergraduates. The topics are divided into two categories: Market Valuations and Non-Market Valuations. We begin with demand and supply estimation and the computation of consumer and producer surpluses. We investigate the use of surplus measurements to evaluate the impact of policies and the introduction of new good. We then move towards estimating the ‘demand side’ of environmental economics. The focus will be on stated and revealed preferences techniques for estimating the non-market values associated with environmental and other public goods."
YSS4240,Advanced Clinical Psychology,Psychology,,,,,,"The goal of this module is to provide a critical and broad overview to the field of clinical psychology. Students will have an opportunity to read both historical (landmark) and contemporary literature related to major topics within clinical psychology, ranging from classification of psychological disorders, multicultural issues in clinical practice, to controversies surrounding empirically supported interventions. The module will have a specific focus on assessment and major intervention approaches, along with student-led presentations on the etiology and/or treatment of various psychological disorders. Readings consist of a combination of textbook sources, empirical research articles, and critical, narrative pieces on selected issues."
YSS4242,Urban Ethnography of Asia,Anthropology,Urban Studies,,,,,"An anthropological study of contemporary Asian cities. Focus on new ethnographies about cities in East, Southeast, and South Asia. Topics include rural-urban migration, redevelopment, evictions, social movements, land grabbing, master-planned developments, heritage preservation, utopian aspirations, social housing, slums and precariousness, and spatial cleansing."
YSS4243,Study of Modern Wars,Global Affairs,,,,,,"This seminar examines the phenomenon of war during the years between the emergence of the modern nation-state and the end of the Cold War. We survey the leading theories on the causes of war, their key concepts and causal variables, the causal paths leading to war or to peace, and the conditions under which various outcomes are most likely to occur. We also closely examine key historical works on major wars, and evaluate the degree of empirical support for various theories and hypotheses. The module will also explore sources of great power conflict in today’s international politics."
YSS4244,African Atlantic Perspectives,Anthropology,,,,,,"This course provides an overview of the anthropology of the African diaspora, its connections to Africa, and the emergence of the modern world. It will examine the history and ethnography of the cultural formation of the African diaspora through the detailed examination of critical questions about diaspora, migration, race, cosmology, subjectivity, and identity formation."
YIL2201S,Directed Language Study: Intermediate Sanskrit,Languages,,,,,,"This course offers four hours a week of language instruction in Sanskrit for students who have completed Beginning Sanskrit or have a similar command of the language. Instruction will continue developing their knowledge of the writing systems, vocabulary, and syntax of classical Sanskrit texts. Students will strengthen their reading level by working with a variety of texts. The course will be taught via teleconference."
